naive_cat,soph_cat,crumb_location,trial,naive_prediction,soph_prediction,naive_evidence_A,naive_evidence_B,soph_evidence_A,soph_evidence_B
A,A,"(6, 3)",snack10,-50.0,-37.0,1.0,0.0,1.0,0.15
A,A,"(6, 3)",snack7,-50.0,-34.0,1.0,0.0,1.0,0.188
A,A,"(3, 9)",snack3,-50.0,-23.0,1.0,0.0,1.0,0.374
A,B,"(3, 4)",snack7,-50.0,50.0,0.003,0.0,0.0,0.198
A,B,"(10, 3)",snack8,-50.0,50.0,0.227,0.001,0.0,0.686
A,B,"(10, 2)",snack8,-50.0,50.0,0.06,0.0,0.0,0.747
A,Uncertain,"(4, 9)",snack1,-47.0,-1.0,1.0,0.033,1.0,0.977
A,Uncertain,"(8, 5)",snack8,-49.0,-7.0,0.315,0.002,0.963,0.727
A,Uncertain,"(5, 3)",snack10,-50.0,-5.0,0.545,0.0,0.473,0.384
B,A,"(13, 3)",snack2,50.0,-50.0,0.0,0.002,0.018,0.0
B,A,"(13, 4)",snack2,50.0,-50.0,0.0,0.004,0.038,0.0
B,A,"(10, 4)",snack5,48.0,-49.0,0.011,0.516,0.926,0.007
B,B,"(10, 10)",snack1,50.0,50.0,0.0,0.664,0.0,0.677
B,B,"(8, 10)",snack9,50.0,22.0,0.0,1.0,0.383,1.0
B,B,"(6, 11)",snack10,50.0,23.0,0.0,1.0,0.376,1.0
B,Uncertain,"(10, 9)",snack3,40.0,-2.0,0.036,0.311,0.999,0.926
B,Uncertain,"(11, 9)",snack3,50.0,0.0,0.005,1.0,0.993,1.0
B,Uncertain,"(6, 11)",snack1,50.0,3.0,0.0,0.965,0.868,0.995
Uncertain,A,"(5, 4)",snack2,15.0,-47.0,0.521,0.967,1.0,0.032
Uncertain,A,"(3, 10)",snack7,10.0,-32.0,0.538,0.792,0.99,0.211
Uncertain,A,"(12, 4)",snack9,13.0,-50.0,0.031,0.052,0.096,0.0
Uncertain,B,"(8, 4)",snack5,-14.0,43.0,0.446,0.247,0.01,0.135
Uncertain,B,"(8, 5)",snack5,-7.0,21.0,0.229,0.176,0.11,0.271
Uncertain,B,"(7, 10)",snack6,-6.0,48.0,0.335,0.261,0.006,0.245
Uncertain,Uncertain,"(8, 5)",snack9,-10.0,1.0,0.165,0.112,0.911,0.963
Uncertain,Uncertain,"(8, 13)",snack6,0.0,0.0,1.0,1.0,1.0,1.0
Uncertain,Uncertain,"(7, 9)",snack6,-8.0,-2.0,0.148,0.107,1.0,0.927
